Park Name,Year,Cause of Death
Black Canyon Of The Gunnison National Park,2013,2
Canyonlands National Park,2017,2
Fredericksburg & Spotsylvania National Military Park,2022,2
Rock Creek Park,2019,2
Amistad National Recreation Area,2015,2
Rock Creek Park,2020,2
Rock Creek Park,2021,2
Gateway National Recreation Area,2007,2
Rock Creek Park,2022,2
Rock Creek Park,2023,2
Fredericksburg & Spotsylvania National Military Park,2019,2
Gateway National Recreation Area,2022,2
Rocky Mountain National Park,2008,2
Zion National Park,2012,2
Anacostia Park,2017,2
Rocky Mountain National Park,2012,2
Zion National Park,2009,2
Rocky Mountain National Park,2015,2
Death Valley National Park,2011,2
Gateway National Recreation Area,2021,2
Gauley River National Recreation Area,2007,2
Fire Island National Seashore,2012,2
Redwood National and State Parks,2018,2
Glen Canyon National Recreation Area,2023,2
Glacier National Park,2022,2
Glacier National Park,2020,2
Glacier National Park,2018,2
Glacier National Park,2012,2
Glacier National Park,2009,2
Glacier National Park,2008,2
Glacier Bay National Park & Preserve,2016,2
Amistad National Recreation Area,2008,2
Gettysburg National Military Park,2019,2
Redwood National and State Parks,2021,2
George Washington Memorial Parkway,2014,2
Acadia National Park,2014,2
Acadia National Park,2017,2
Acadia National Park,2022,2
George Washington Birthplace,2013,2
Arches National Park,2018,2
Zion National Park,2007,2
Saguaro National Park,2008,2
Denali National Park & Preserve,2008,2
Baltimore-Washington Parkway,2007,2
Arches National Park,2023,2
Baltimore-Washington Parkway,2009,2
Baltimore-Washington Parkway,2014,2
Bandelier National Monument,2016,2
Yellowstone National Park,2012,2
Denali National Park & Preserve,2021,2
San Antonio Missions National Historical Park,2015,2
Saint Croix National Scenic Riverway,2018,2
Delaware Water Gap National Recreation Area,2022,2
Big Bend National Park,2018,2
Delaware Water Gap National Recreation Area,2014,2
Delaware Water Gap National Recreation Area,2012,2
Delaware Water Gap National Recreation Area,2010,2
Big Bend National Park,2020,2
Yellowstone National Park,2011,2
Buffalo National River,2011,2
Baltimore-Washington Parkway,2008,2
Dinosaur National Monument,2016,2
Saint Croix Island International Historic Site,2013,2
Yosemite National Park,2008,2
Assateague Island National Seashore,2021,2
Buffalo National River,2013,2
Dinosaur National Monument,2017,2
Everglades National Park,2016,2
Saguaro National Park,2010,2
Saint Croix Island International Historic Site,2012,2
Canaveral National Seashore,2019,2
Badlands National Park,2015,2
Dry Tortugas National Park,2015,2
Assateague Island National Seashore,2016,2
Saint Croix National Scenic Riverway,2017,2
Assateague Island National Seashore,2018,2
Virgin Islands National Park,2014,1
Voyageurs National Park,2013,1
North Cascades National Park,2012,1
Virgin Islands National Park,2012,1
Voyageurs National Park,2009,1
Obed Wild & Scenic River,2017,1
North Cascades National Park,2013,1
Virgin Islands National Park,2013,1
Obed Wild & Scenic River,2015,1
North Cascades National Park,2015,1
Redwood National and State Parks,2012,1
North Cascades National Park,2011,1
Yellowstone National Park,2009,1
Wind Cave National Park,2012,1
Wind Cave National Park,2014,1
Wind Cave National Park,2016,1
Wrangell - St Elias National Park & Reserve,2014,1
Wrangell - St Elias National Park & Reserve,2020,1
Wupatki National Monument,2022,1
Yellowstone National Park,2021,1
National Mall & Memorial Parks,2021,1
Yellowstone National Park,2022,1
Yellowstone National Park,2023,1
Yorktown Battlefield Part of Colonial National Historical Park,2023,1
Zion National Park,2016,1
Zion National Park,2020,1
National Mall & Memorial Parks,2008,1
Wind Cave National Park,2007,1
White Sands National Park,2021,1
North Cascades National Park,2010,1
Niobrara National Scenic River,2012,1
Voyageurs National Park,2017,1
Voyageurs National Park,2018,1
North Cascades National Park,2009,1
Walnut Canyon National Monument,2017,1
Whiskeytown National Recreation Area,2007,1
Niobrara National Scenic River,2015,1
Whiskeytown National Recreation Area,2012,1
White Sands National Park,2019,1
Whiskeytown National Recreation Area,2014,1
New River Gorge National River,2020,1
Whiskeytown National Recreation Area,2018,1
New River Gorge National River,2014,1
White Sands National Park,2011,1
White Sands National Park,2018,1
Wilson's Creek National Battlefield,2019,1
Organ Pipe Cactus National Monument,2020,1
Obed Wild & Scenic River,2021,1
