,Park Name,Year,Cause of Death
516,Katmai National Park & Preserve,2018,2
517,Gulf Islands National Seashore,2018,2
518,Lake Meredith National Recreation Area,2023,2
519,Lake Roosevelt National Recreation Area,2007,2
520,Gulf Islands National Seashore,2015,2
521,Grand Teton National Park,2010,2
522,Niobrara National Scenic River,2017,2
523,North Cascades National Park,2007,2
524,Mammoth Cave National Park,2019,2
525,Mammoth Cave National Park,2017,2
526,Lowell National Historical Park,2021,2
527,Little River Canyon National Preserve,2019,2
528,Redwood National and State Parks,2008,2
529,Great Falls,2008,2
530,Great Falls,2010,2
531,Great Falls Park,2015,2
532,Great Falls Park,2018,2
533,Prince William Forest Park,2015,2
534,Little River Canyon National Preserve,2015,2
535,North Cascades National Park,2014,2
536,Little River Canyon National Preserve,2012,2
537,Little River Canyon National Preserve,2008,2
538,Presidio of San Francisco,2018,2
539,Great Smoky Mountains National Park,2007,2
540,Lassen Volcanic National Park,2008,2
541,Lake Roosevelt National Recreation Area,2023,2
542,Great Smoky Mountains National Park,2023,2
543,Lake Roosevelt National Recreation Area,2016,2
544,Gulf Islands National Seashore,2009,2
545,Gulf Islands National Seashore,2011,2
546,Lake Roosevelt National Recreation Area,2011,2
547,Olympic National Park,2007,2
548,North Cascades National Park,2019,2
549,Everglades National Park,2017,2
550,Buffalo National River,2018,2
551,Death Valley National Park,2009,2
552,Cape Hatteras National Seashore,2010,2
553,Santa Monica Mountains National Recreation Area,2016,2
554,Cape Hatteras National Seashore,2013,2
555,Big Thicket National Preserve,2008,2
556,White Sands National Park,2015,2
557,Big Thicket National Preserve,2012,2
558,Upper Delaware Scenic & Recreational River,2007,2
559,Whiskeytown National Recreation Area,2022,2
560,Big Thicket National Preserve,2016,2
561,Whiskeytown National Recreation Area,2021,2
562,Cape Hatteras National Seashore,2022,2
563,Whiskeytown National Recreation Area,2020,2
564,Sequoia & Kings Canyon National Parks,2007,2
565,Cumberland Gap National Historical Park,2014,2
566,Sequoia & Kings Canyon National Parks,2008,2
567,Sequoia & Kings Canyon National Parks,2009,2
568,Craters Of The Moon National Monument & Preserve,2013,2
569,Curecanti National Recreation Area,2016,2
570,Big South Fork National River and Recreation Area,2021,2
571,Upper Delaware Scenic & Recreational River,2009,2
572,Big South Fork National River and Recreation Area,2014,2
573,Cuyahoga Valley National Park,2019,2
574,Canyonlands National Park,2019,2
575,Virgin Islands National Park,2016,2
576,Big South Fork National River and Recreation Area,2010,2
577,Cape Cod National Seashore,2010,2
578,Cape Cod National Seashore,2014,2
579,Cuyahoga Valley National Park,2011,2
580,Cape Cod National Seashore,2019,2
581,Virgin Islands National Park,2011,2
582,Cuyahoga Valley National Park,2010,2
583,Cape Cod National Seashore,2020,2
584,Santa Monica Mountains National Recreation Area,2014,2
585,Curecanti National Recreation Area,2022,2
586,Curecanti National Recreation Area,2021,2
587,Big South Fork National River and Recreation Area,2016,2
588,Curecanti National Recreation Area,2019,2
589,Whiskeytown National Recreation Area,2019,2
590,Boston National Historical Park,2018,2
591,Bighorn Canyon National Recreation Area,2011,2
592,Chickasaw National Recreation Area,2009,2
593,Shenandoah National Park,2013,2
594,Shenandoah National Park,2014,2
595,Biscayne National Park,2014,2
596,Shenandoah National Park,2015,2
597,Virgin Islands National Park,2023,2
598,Channel Islands National Park,2014,2
599,Shenandoah National Park,2017,2
600,Biscayne National Park,2022,2
601,Catoctin Mountain Park,2016,2
602,Shenandoah National Park,2020,2
603,Sleeping Bear DunesNational Lakeshore,2014,2
604,Chickamauga & Chattanooga National Military Park,2015,2
605,Sleeping Bear Dunes National Lakeshore,2018,2
606,Chesapeake & Ohio Canal National Historical Park,2018,2
607,Chesapeake & Ohio Canal National Historical Park,2017,2
608,Chesapeake & Ohio Canal National Historical Park,2015,2
609,Clara Barton National Historic Site,2016,2
610,Carlsbad Caverns National Park,2017,2
611,Crater Lake National Park,2016,2
612,Blue Ridge Parkway,2009,2
613,Crater Lake National Park,2013,2
614,Biscayne National Park,2007,2
615,Colorado National Monument,2023,2
616,Virgin Islands National Park,2020,2
617,Colorado National Monument,2020,2
618,Colorado National Monument,2019,2
619,Colorado National Monument,2018,2
620,Colorado National Monument,2015,2
621,Clara Barton National Historic Site,2018,2
622,Colonial National Historical Park,2020,2
623,Suitland,2020,2
624,Biscayne National Park,2011,2
625,Colonial National Historical Park,2018,2
626,Colonial National Historical Park,2011,2
627,Shenandoah National Park,2008,2
628,Shenandoah National Park,2012,2
629,Death Valley National Park,2007,2
630,Black Canyon Of The Gunnison National Park,2013,2
631,Canyonlands National Park,2017,2
632,Fredericksburg & Spotsylvania National Military Park,2022,2
633,Rock Creek Park,2019,2
634,Amistad National Recreation Area,2015,2
635,Rock Creek Park,2020,2
636,Rock Creek Park,2021,2
637,Gateway National Recreation Area,2007,2
638,Rock Creek Park,2022,2
639,Rock Creek Park,2023,2
640,Fredericksburg & Spotsylvania National Military Park,2019,2
641,Gateway National Recreation Area,2022,2
642,Rocky Mountain National Park,2008,2
643,Zion National Park,2012,2
644,Anacostia Park,2017,2
645,Rocky Mountain National Park,2012,2
646,Zion National Park,2009,2
647,Rocky Mountain National Park,2015,2
648,Death Valley National Park,2011,2
649,Gateway National Recreation Area,2021,2
650,Gauley River National Recreation Area,2007,2
651,Fire Island National Seashore,2012,2
652,Redwood National and State Parks,2018,2
